,Unnamed: 0,ID,OTAZKA,PEDAGOG,HODNOTA_CLOB_OCISTENO,LANG,token,lemma,pos,DetectSentiment,SENTIMENT,lemma_cleaned,token_cleaned,pos_cleaned
40,40,22768,4,,Nic mě nenapadá,['cs'],"['I' ""can't"" 'think' 'of' 'anything' '.']",['.'],['PRON' 'VERB' 'VERB' 'ADP' 'PRON' 'PUNCT'],positive,Negative,.,"I ""cant"" think of anything .",PRON VERB VERB ADP PRON PUNCT
41,41,22773,3,,"Vyučující, ze kterého jde vidět, že ho to baví!",['cs'],"['A' 'tutor' 'who' 'can' 'see' 'that' ""he's"" 'enjoying' 'it' '!']",['tutor' 'enjoy' '!'],['DET' 'NOUN' 'PRON' 'AUX' 'VERB' 'SCONJ' 'NOUN' 'VERB' 'PRON' 'PUNCT'],positive,Positive,tutor enjoy !,"A tutor who can see that ""hes"" enjoying it !",DET NOUN PRON AUX VERB SCONJ NOUN VERB PRON PUNCT
42,42,22653,4,,"Semestrální práci nezaměřovat pouze na procesy, ale zapojit taky například tvorbu strategie podniku.",['cs'],"['The' ""semester's"" 'work' 'is' 'not' 'only' 'focused' 'on' 'processes'
 ',' 'but' 'also' 'to' 'involve' ',' 'for' 'example' ',' 'the' 'creation'
 'of' 'a' 'business' 'strategy' '.']","[""semester's"" 'work' 'focus' 'process' ',' 'involve' ',' ',' 'creation'
 'business' 'strategy' '.']","['DET' 'NOUN' 'NOUN' 'AUX' 'PART' 'ADV' 'VERB' 'ADP' 'NOUN' 'PUNCT'
 'CCONJ' 'ADV' 'ADP' 'VERB' 'PUNCT' 'ADP' 'NOUN' 'PUNCT' 'DET' 'NOUN'
 'ADP' 'DET' 'NOUN' 'NOUN' 'PUNCT']",negative,Negative,"semesters"" work focus process , involve , , creation
 business strategy .","The ""semesters"" work is not only focused on processes
 , but also to involve , for example , the creation
 of a business strategy .","DET NOUN NOUN AUX PART ADV VERB ADP NOUN PUNCT
 CCONJ ADV ADP VERB PUNCT ADP NOUN PUNCT DET NOUN
 ADP DET NOUN NOUN PUNCT"
43,43,22657,3,,"Zvaní hosté, probírané témata",['cs'],"['Invited' 'guests' ',' 'topics' 'discussed']","['Invited' 'guest' ',' 'topic' 'discuss']",['VERB' 'NOUN' 'PUNCT' 'NOUN' 'VERB'],negative,Positive,"Invited guest , topic discuss","Invited guests , topics discussed",VERB NOUN PUNCT NOUN VERB
44,44,21999,3,,Přednášky z praxe a přístup všech vyučujících,['cs'],['Practice' 'lectures' 'and' 'access' 'of' 'all' 'teachers'],['Practice' 'lecture' 'access' 'teacher'],['NOUN' 'NOUN' 'CCONJ' 'NOUN' 'ADP' 'DET' 'NOUN'],negative,Positive,Practice lecture access teacher,Practice lectures and access of all teachers,NOUN NOUN CCONJ NOUN ADP DET NOUN
45,45,21992,4,,"První cvičení začínat s terminologií pomaleji kvůli studentům, kteří dělali jiný bakalářský obor.",['cs'],"['The' 'first' 'exercise' 'to' 'start' 'with' 'terminology' 'slower' 'for'
 'students' 'who' 'did' 'a' 'different' 'B.A' '.']",['exercise' 'start' 'terminology' 'slow' 'student' 'B.A' '.'],"['DET' 'ADJ' 'NOUN' 'PART' 'VERB' 'ADP' 'NOUN' 'NOUN' 'ADP' 'NOUN' 'PRON'
 'VERB' 'DET' 'ADJ' 'NOUN' 'PUNCT']",positive,Negative,exercise start terminology slow student B.A .,"The first exercise to start with terminology slower for
 students who did a different B.A .","DET ADJ NOUN PART VERB ADP NOUN NOUN ADP NOUN PRON
 VERB DET ADJ NOUN PUNCT"
46,46,22358,23,,Procesní inženýrství se částečně učí v jiných předmětech a taky už na bakalářském programu.,['cs'],"['Process' 'engineering' 'is' 'partly' 'taught' 'in' 'other' 'subjects'
 'and' 'also' 'in' 'the' ""Bachelor's"" 'program' '.']","['Process' 'engineering' 'partly' 'teach' 'subject' ""Bachelor's"" 'program'
 '.']","['NOUN' 'NOUN' 'AUX' 'ADV' 'VERB' 'ADP' 'ADJ' 'NOUN' 'CCONJ' 'ADV' 'ADP'
 'DET' 'NOUN' 'NOUN' 'PUNCT']",positive,Neutral,"Process engineering partly teach subject ""Bachelors"" program
 .","Process engineering is partly taught in other subjects
 and also in the ""Bachelors"" program .","NOUN NOUN AUX ADV VERB ADP ADJ NOUN CCONJ ADV ADP
 DET NOUN NOUN PUNCT"
47,47,22368,4,,Probírat obecně BPMN a jiné notace namísto specifické odnože BPMN.,['cs'],"['To' 'discuss' 'generally' 'BPMN' 'and' 'other' 'notations' 'instead'
 'of' 'specific' 'offshoots' 'of' 'BPMN' '.']",['discuss' 'generally' 'BPMN' 'notation' 'specific' 'offshoot' 'BPMN' '.'],"['PART' 'VERB' 'ADV' 'PROPN' 'CCONJ' 'ADJ' 'NOUN' 'ADV' 'ADP' 'ADJ' 'NOUN'
 'ADP' 'PROPN' 'PUNCT']",positive,Negative,discuss generally BPMN notation specific offshoot BPMN .,"To discuss generally BPMN and other notations instead
 of specific offshoots of BPMN .","PART VERB ADV PROPN CCONJ ADJ NOUN ADV ADP ADJ NOUN
 ADP PROPN PUNCT"
48,48,22371,3,,Přístup pana profesora,['cs'],"[""Professor's"" 'approach']","[""Professor's"" 'approach']",['PROPN' 'NOUN'],na'],Positive,"Professors"" approach","Professors"" approach",PROPN NOUN
49,49,32707,3,,"Kahoot - přednášky, alespoň mírné uvolnění od reality
Cvičení s Panem inženýrem Hemalou probíhala v pořádku",['cs'],"['Kahoot' '-' 'lectures' ',' 'at' 'least' 'a' 'slight' 'relaxation' 'from'
 'reality' 'Exercise' 'with' 'Mr' '.' 'Engineer' 'Hemala' 'was' 'going'
 'well']","['Kahoot' '-' 'lecture' ',' 'slight' 'relaxation' 'reality' 'Exercise'
 'Mr' '.' 'Engineer' 'Hemala']","['PROPN' 'PUNCT' 'NOUN' 'PUNCT' 'ADV' 'ADV' 'DET' 'ADJ' 'NOUN' 'ADP'
 'NOUN' 'PROPN' 'ADP' 'PROPN' 'PUNCT' 'NOUN' 'NOUN' 'AUX' 'VERB' 'ADV']",positive,Positive,"Kahoot - lecture , slight relaxation reality Exercise
 Mr . Engineer Hemala","Kahoot - lectures , at least a slight relaxation from
 reality Exercise with Mr . Engineer Hemala was going
 well","PROPN PUNCT NOUN PUNCT ADV ADV DET ADJ NOUN ADP
 NOUN PROPN ADP PROPN PUNCT NOUN NOUN AUX VERB ADV"
50,50,45023,23,,Zlepšování procesů IT (Buchalcevová),['cs'],['Improving' 'IT' 'processes' '(' 'Buchalcevova' ')'],['Improving' 'process' '(' 'Buchalcevova' ')'],['VERB' 'PRON' 'NOUN' 'PUNCT' 'PROPN' 'PUNCT'],positive,Neutral,Improving process ( Buchalcevova ),Improving IT processes ( Buchalcevova ),VERB PRON NOUN PUNCT PROPN PUNCT
51,51,28439,4,,.,['Unknown'],['.'],['.'],['PUNCT'],negative,Negative,.,.,PUNCT
53,53,31370,4,,Vice procvicit teorii,['ro'],['More' 'practice' 'theory'],['practice' 'theory'],['ADV' 'NOUN' 'NOUN'],negative,Negative,practice theory,More practice theory,ADV NOUN NOUN
54,54,32702,4,,"Přednášky jsou dle mého názoru tak trochu PowerPoint karaoke, tudíž si každý pak ve výsledku může nasdílenou prezentaci přečíst sám",['cs'],"['Lectures' 'are' 'in' 'my' 'opinion' 'a' 'bit' 'PowerPoint' 'karaoke' ','
 'so' 'everyone' 'can' 'read' 'the' 'shared' 'presentation' 'himself']","['Lectures' 'opinion' 'bit' 'PowerPoint' 'karaoke' ',' 'read' 'share'
 'presentation']","['NOUN' 'AUX' 'ADP' 'PRON' 'NOUN' 'DET' 'NOUN' 'ADJ' 'NOUN' 'PUNCT' 'ADV'
 'PRON' 'AUX' 'VERB' 'DET' 'VERB' 'NOUN' 'X']",positive,Negative,"Lectures opinion bit PowerPoint karaoke , read share
 presentation","Lectures are in my opinion a bit PowerPoint karaoke ,
 so everyone can read the shared presentation himself","NOUN AUX ADP PRON NOUN DET NOUN ADJ NOUN PUNCT ADV
 PRON AUX VERB DET VERB NOUN X"
55,55,39919,23,,"- mnoho předmětů nějak souvisejících s Testováním SW a vyučovaných na VŠE
příklad: Integrační testování, Analýza&amp;Návrh testů SW,Programování v Javě, Projektové řízení, Statistika atd...",['cs'],"['-' 'many' 'subjects' 'related' 'to' 'testing' 'SW' 'and' 'taught' 'at'
 'all' 'examples' ':' 'Integration' 'testing' ',' 'Analysis' '&amp' ';'
 'Design' 'of' 'SW' 'tests' ',' 'Programming' 'in' 'Java']","['-' 'subject' 'relate' 'test' 'SW' 'teach' 'example' ':' 'Integration'
 'test' ',' 'Analysis' '&amp' ';' 'Design' 'SW' 'test' ',' 'Programming'
 'Java']","['PUNCT' 'ADJ' 'NOUN' 'VERB' 'ADP' 'NOUN' 'PROPN' 'CCONJ' 'VERB' 'ADP'
 'DET' 'NOUN' 'PUNCT' 'NOUN' 'NOUN' 'PUNCT' 'PROPN' 'NOUN' 'PUNCT' 'NOUN'
 'ADP' 'PROPN' 'NOUN' 'PUNCT' 'VERB' 'ADP' 'PROPN']",negative,Neutral,"- subject relate test SW teach example : Integration
 test , Analysis &amp ; Design SW test , Programming
 Java","- many subjects related to testing SW and taught at
 all examples : Integration testing , Analysis &amp ;
 Design of SW tests , Programming in Java","PUNCT ADJ NOUN VERB ADP NOUN PROPN CCONJ VERB ADP
 DET NOUN PUNCT NOUN NOUN PUNCT PROPN NOUN PUNCT NOUN
 ADP PROPN NOUN PUNCT VERB ADP PROPN"
56,56,39927,4,,- úplná absence Robot Framework v tomto semestru,['cs'],['-' 'complete' 'absence' 'of' 'Robot' 'Framework' 'in' 'this' 'semester'],['-' 'complete' 'absence' 'Robot' 'Framework' 'semester'],['PUNCT' 'ADJ' 'NOUN' 'ADP' 'PROPN' 'PROPN' 'ADP' 'DET' 'NOUN'],positive,Negative,- complete absence Robot Framework semester,- complete absence of Robot Framework in this semester,PUNCT ADJ NOUN ADP PROPN PROPN ADP DET NOUN
57,57,40372,3,,Velmi se mi líbily exkurze v rámci kurzu.,['cs'],['I' 'really' 'enjoyed' 'the' 'field' 'trip' '.'],['enjoy' 'field' 'trip' '.'],['PRON' 'ADV' 'VERB' 'DET' 'NOUN' 'NOUN' 'PUNCT'],positive,Positive,enjoy field trip .,I really enjoyed the field trip .,PRON ADV VERB DET NOUN NOUN PUNCT
58,58,23808,4,,nic,['Unknown'],['Nothing'],[],['PRON'],positive,Negative,,Nothing,PRON
59,59,24209,4,,nic,['Unknown'],['Nothing'],[],['PRON'],positive,Negative,,Nothing,PRON
60,60,24210,3,,získaní dalších zkušeností pro tvorbu aplikací,['cs'],"['gaining' 'further' 'experience' 'for' 'the' 'creation' 'of'
 'applications']",['gain' 'experience' 'creation' 'application'],['VERB' 'ADJ' 'NOUN' 'ADP' 'DET' 'NOUN' 'ADP' 'NOUN'],positive,Positive,gain experience creation application,"gaining further experience for the creation of
 applications",VERB ADJ NOUN ADP DET NOUN ADP NOUN
61,61,24735,4,,Zrušit výuku školní notace relačních modelů databází. Nebo si snad mohu vymyslet vlastní notaci zápisu a je ze mě hned vysokoškolský pedagog?,['cs'],"['Cancel' 'teaching' 'the' 'school' 'notation' 'of' 'relational' 'models'
 'databases' '.' 'Or' 'can' 'I' 'invent' 'my' 'own' 'notation' 'of' 'the'
 'minutes' 'and' 'become' 'a' 'university' 'teacher' '?']","['Cancel' 'teach' 'school' 'notation' 'relational' 'model' 'database' '.'
 'invent' 'notation' 'minute' 'university' 'teacher' '?']","['PROPN' 'VERB' 'DET' 'NOUN' 'NOUN' 'ADP' 'ADJ' 'NOUN' 'NOUN' 'PUNCT'
 'CCONJ' 'AUX' 'PRON' 'VERB' 'PRON' 'ADJ' 'NOUN' 'ADP' 'DET' 'NOUN'
 'CCONJ' 'VERB' 'DET' 'NOUN' 'NOUN' 'PUNCT']",negative,Negative,"Cancel teach school notation relational model database .
 invent notation minute university teacher ?","Cancel teaching the school notation of relational models
 databases . Or can I invent my own notation of the
 minutes and become a university teacher ?","PROPN VERB DET NOUN NOUN ADP ADJ NOUN NOUN PUNCT
 CCONJ AUX PRON VERB PRON ADJ NOUN ADP DET NOUN
 CCONJ VERB DET NOUN NOUN PUNCT"
62,62,35749,23,,sw inženýrství,['cs'],['sw' 'engineering'],['sw' 'engineering'],['NOUN' 'NOUN'],na'],Neutral,sw engineering,sw engineering,NOUN NOUN
63,63,35759,3,,semestrální práce,['cs'],['semester' 'work'],['semester' 'work'],['ADJ' 'NOUN'],negative,Positive,semester work,semester work,ADJ NOUN
64,64,41592,4,,"Možná rady i těch, kteří diplomovou práci již psali (co jim pomohlo, co by doporučili, co naopak ne atd.)",['cs'],"['Perhaps' 'even' 'those' 'who' 'have' 'already' 'written' 'thesis' '('
 'what' 'helped' 'them' ',' 'what' 'would' 'recommend' ',' 'what' 'would'
 'not' ',' 'etc' '.)']","['write' 'thesis' '(' 'help' ',' 'recommend' ',' ',' '.)']","['ADV' 'ADV' 'DET' 'PRON' 'AUX' 'ADV' 'VERB' 'NOUN' 'PUNCT' 'PRON' 'VERB'
 'PRON' 'PUNCT' 'PRON' 'AUX' 'VERB' 'PUNCT' 'PRON' 'AUX' 'PART' 'PUNCT'
 'X' 'PUNCT']",negative,Negative,"write thesis ( help , recommend , , .)","Perhaps even those who have already written thesis (
 what helped them , what would recommend , what would
 not , etc .)","ADV ADV DET PRON AUX ADV VERB NOUN PUNCT PRON VERB
 PRON PUNCT PRON AUX VERB PUNCT PRON AUX PART PUNCT
 X PUNCT"
65,65,41598,3,,"Přínosné rady pro psaní diplomky. Vše jsem si zapisoval a při psaní diplomky pak kontroloval náležitosti. Taky se mi líbila menší náročnost, která dávala prostor pro vlastní psaní práce.",['cs'],"['The' 'helpful' 'advice' 'for' 'writing' 'a' 'thesis' '.' 'I' 'wrote'
 'everything' 'down' 'and' 'then' 'checked' 'the' 'details' 'when'
 'writing' 'a' 'thesis' '.' 'I' 'also' 'liked' 'the' 'less' 'demanding'
 'which' 'gave' 'room' 'for' 'my' 'own']","['helpful' 'advice' 'write' 'thesis' '.' 'write' 'check' 'detail' 'write'
 'thesis' '.' 'demand' 'give' 'room']","['DET' 'ADJ' 'NOUN' 'SCONJ' 'VERB' 'DET' 'NOUN' 'PUNCT' 'PRON' 'VERB'
 'PRON' 'ADP' 'CCONJ' 'ADV' 'VERB' 'DET' 'NOUN' 'ADV' 'VERB' 'DET' 'NOUN'
 'PUNCT' 'PRON' 'ADV' 'VERB' 'DET' 'ADJ' 'NOUN' 'PRON' 'VERB' 'NOUN' 'ADP'
 'PRON' 'ADJ']",positive,Positive,"helpful advice write thesis . write check detail write
 thesis . demand give room","The helpful advice for writing a thesis . I wrote
 everything down and then checked the details when
 writing a thesis . I also liked the less demanding
 which gave room for my own","DET ADJ NOUN SCONJ VERB DET NOUN PUNCT PRON VERB
 PRON ADP CCONJ ADV VERB DET NOUN ADV VERB DET NOUN
 PUNCT PRON ADV VERB DET ADJ NOUN PRON VERB NOUN ADP
 PRON ADJ"
66,66,41647,4,,Někteří externisté z přednášek,['cs'],['Some' 'externists' 'from' 'lectures'],['externists' 'lecture'],['DET' 'NOUN' 'ADP' 'NOUN'],negative,Negative,externists lecture,Some externists from lectures,DET NOUN ADP NOUN
67,67,41654,3,,Praktické znalosti ze cvičení spojené se super teorii z praxr,['cs'],"['Practical' 'knowledge' 'of' 'the' 'exercise' 'associated' 'with' 'super'
 'theory' 'from' 'praxr']",['Practical' 'knowledge' 'exercise' 'super' 'theory' 'praxr'],['ADJ' 'NOUN' 'ADP' 'DET' 'NOUN' 'VERB' 'ADP' 'NOUN' 'NOUN' 'ADP' 'NOUN'],negative,Positive,Practical knowledge exercise super theory praxr,"Practical knowledge of the exercise associated with super
 theory from praxr",ADJ NOUN ADP DET NOUN VERB ADP NOUN NOUN ADP NOUN
68,68,41673,4,,nic,['Unknown'],['Nothing'],[],['PRON'],positive,Negative,,Nothing,PRON
69,69,41747,4,,Občas nesrozumitelný výklad na cvičení v podobě SQL Syntaxu,['cs'],"['Sometimes' 'an' 'incomprehensible' 'interpretation' 'of' 'the' 'SQL'
 'Syntax' 'exercise']",['incomprehensible' 'interpretation' 'SQL' 'Syntax' 'exercise'],['ADV' 'DET' 'ADJ' 'NOUN' 'ADP' 'DET' 'PROPN' 'PROPN' 'NOUN'],positive,Negative,incomprehensible interpretation SQL Syntax exercise,"Sometimes an incomprehensible interpretation of the SQL
 Syntax exercise",ADV DET ADJ NOUN ADP DET PROPN PROPN NOUN
71,71,35754,4,,více praktických úkolů a cvičení,['Unknown'],['more' 'practical' 'tasks' 'and' 'exercises'],['practical' 'task' 'exercise'],['ADV' 'ADJ' 'NOUN' 'CCONJ' 'NOUN'],negative,Negative,practical task exercise,more practical tasks and exercises,ADV ADJ NOUN CCONJ NOUN
72,72,28433,23,,.,['Unknown'],['.'],['.'],['PUNCT'],negative,Neutral,.,.,PUNCT
73,73,28443,3,,.,['Unknown'],['.'],['.'],['PUNCT'],negative,Positive,.,.,PUNCT
74,74,35561,4,,"Teorie z přednášek by mohla být studentům prezentována ve srozumitelnější formě, vzhledem k tomu, že mnoho studentů nemá předešlé zkušenosti s danou problematikou.",['cs'],"['The' 'theory' 'of' 'lectures' 'could' 'be' 'presented' 'to' 'students'
 'in' 'a' 'more' 'understandable' 'form' ',' 'given' 'that' 'many'
 'students' 'do' 'not' 'have' 'previous' 'experience' 'with' 'the'
 'subject' '.']","['theory' 'lecture' 'present' 'student' 'understandable' 'form' ','
 'student' 'previous' 'experience' 'subject' '.']","['DET' 'NOUN' 'ADP' 'NOUN' 'AUX' 'AUX' 'VERB' 'ADP' 'NOUN' 'ADP' 'DET'
 'ADV' 'ADJ' 'NOUN' 'PUNCT' 'VERB' 'SCONJ' 'ADJ' 'NOUN' 'AUX' 'PART'
 'VERB' 'ADJ' 'NOUN' 'ADP' 'DET' 'NOUN' 'PUNCT']",positive,Negative,"theory lecture present student understandable form ,
 student previous experience subject .","The theory of lectures could be presented to students
 in a more understandable form , given that many
 students do not have previous experience with the
 subject .","DET NOUN ADP NOUN AUX AUX VERB ADP NOUN ADP DET
 ADV ADJ NOUN PUNCT VERB SCONJ ADJ NOUN AUX PART
 VERB ADJ NOUN ADP DET NOUN PUNCT"
75,75,35566,3,,Výuka cvičení,['cs'],['Exercise' 'Teaching'],['Exercise' 'Teaching'],['PROPN' 'PROPN'],na'],Positive,Exercise Teaching,Exercise Teaching,PROPN PROPN
76,76,40295,4,,"Určitě by bylo vhodne jinak vést cvičení. Nyni tam vládne anarchie. Na zacatku semestru se náhodně složí tým 12 lidí a ten si vymyslí téma. Což je dost hrozne když v tomto bodě o modelování ani o modelované oblasti mnoho nevime a týmova práce ovlivňuje velkou část práce. Jako na každém  předmětu, kde se pracuje v týmu, zde panuje nesmyslný model kdy vedoucí nese odpovědnost za celý tým, ale zároveň každý člen týmu nese odpovednost za vše, protože jsme vsichni hodnoceni podle vysledku projektu. To se absolutne neblíží reálnému světu a  ve výsledku je pak strašně moc práce na několika jedincîch kteří nechtějí propadnou. Dle meho názoru se tomu da zamezit aktivní účastí cvičícího a zjišťováním aktuálniho stavu projektu. Stejně tak bychom měli byt hodnoceni už v průběhu a ne na konci. Víra v to že jsme dospělí a nějak se dohodneme zde, a myslí m ani nikde ve světě bez pravidel, neplatí.
Co se týče přednášek pomohlo by zapojeni více praktických příkladů pro jednotlivé modely.",['cs'],"['It' 'would' 'be' 'convenient' 'to' 'conduct' 'an' 'exercise' 'otherwise'
 ',' 'but' 'now' 'there' 'is' 'anarchy' '.' 'At' 'the' 'start' 'of' 'the'
 'semester' ',' 'a' 'team' 'of' '12' 'people' 'will' 'randomly' 'assemble'
 'and' 'you' 'will']","['convenient' 'conduct' 'exercise' ',' 'anarchy' '.' 'start' 'semester'
 ',' 'team' '12' 'people' 'randomly' 'assemble']","['PRON' 'AUX' 'AUX' 'ADJ' 'PART' 'VERB' 'DET' 'NOUN' 'ADV' 'PUNCT' 'CCONJ'
 'ADV' 'PRON' 'VERB' 'NOUN' 'PUNCT' 'ADP' 'DET' 'NOUN' 'ADP' 'DET' 'NOUN'
 'PUNCT' 'DET' 'NOUN' 'ADP' 'NUM' 'NOUN' 'AUX' 'VERB' 'ADJ' 'CCONJ' 'PRON'
 'AUX']",positive,Negative,"convenient conduct exercise , anarchy . start semester
 , team 12 people randomly assemble","It would be convenient to conduct an exercise otherwise
 , but now there is anarchy . At the start of the
 semester , a team of 12 people will randomly assemble
 and you will","PRON AUX AUX ADJ PART VERB DET NOUN ADV PUNCT CCONJ
 ADV PRON VERB NOUN PUNCT ADP DET NOUN ADP DET NOUN
 PUNCT DET NOUN ADP NUM NOUN AUX VERB ADJ CCONJ PRON
 AUX"
77,77,40298,3,,"Na cvičení se mi libila ochota v případě že jsme se na něco zeptali. Jinak však byla ochota bohužel nulová.
Take se mi líbíly poskytnute materiály se stručným přehledem jednotlivých modelů.",['cs'],"['I' 'liked' 'the' 'willingness' 'to' 'exercise' 'in' 'case' 'we' 'asked'
 'a' 'question' ',' 'but' 'otherwise' 'the' 'willingness' 'was'
 'unfortunately' 'zero' '.' 'I' 'liked' 'the' 'provided' 'materials'
 'with' 'a' 'brief']","['willingness' 'exercise' 'case' 'ask' 'question' ',' 'willingness' '.'
 'provide' 'material']","['PRON' 'VERB' 'DET' 'NOUN' 'PART' 'VERB' 'ADP' 'NOUN' 'PRON' 'VERB' 'DET'
 'NOUN' 'PUNCT' 'CCONJ' 'ADV' 'DET' 'NOUN' 'AUX' 'ADV' 'ADJ' 'PUNCT'
 'PRON' 'VERB' 'DET' 'VERB' 'NOUN' 'ADP' 'DET' 'NOUN']",positive,Positive,"willingness exercise case ask question , willingness .
 provide material","I liked the willingness to exercise in case we asked
 a question , but otherwise the willingness was
 unfortunately zero . I liked the provided materials
 with a brief","PRON VERB DET NOUN PART VERB ADP NOUN PRON VERB DET
 NOUN PUNCT CCONJ ADV DET NOUN AUX ADV ADJ PUNCT
 PRON VERB DET VERB NOUN ADP DET NOUN"
78,78,40349,3,,Líbila se mi účast mnoha hostů z praxe.,['cs'],"['I' 'liked' 'the' 'participation' 'of' 'many' 'guests' 'from' 'practice'
 '.']",['participation' 'guest' 'practice' '.'],['PRON' 'VERB' 'DET' 'NOUN' 'ADP' 'ADJ' 'NOUN' 'ADP' 'NOUN' 'PUNCT'],positive,Positive,participation guest practice .,"I liked the participation of many guests from practice
 .",PRON VERB DET NOUN ADP ADJ NOUN ADP NOUN PUNCT
79,79,40510,4,,"Názorná ukázka s netSuit. Pro tento program si firmy platí školení, avšak studentovi je pouze ukázáno jak se registrovat a poté je mu sděleno ať udělá transakce.",['cs'],"['A' 'demonstration' 'of' 'S?netSuit' '.' 'For' 'this' 'program'
 'companies' 'pay' 'training' ',' 'but' 'the' 'student' 'is' 'only'
 'shown' 'how' 'to' 'register' 'and' 'then' 'is' 'told' 'to' 'do']","['demonstration' 'S?netSuit' '.' 'program' 'company' 'pay' 'training' ','
 'student' 'show' 'register' 'tell']","['DET' 'NOUN' 'ADP' 'PROPN' 'PUNCT' 'ADP' 'DET' 'NOUN' 'NOUN' 'VERB'
 'NOUN' 'PUNCT' 'CCONJ' 'DET' 'NOUN' 'AUX' 'ADV' 'VERB' 'ADV' 'PART'
 'VERB' 'CCONJ' 'ADV' 'AUX' 'VERB' 'PART' 'VERB']",negative,Negative,"demonstration S?netSuit . program company pay training ,
 student show register tell","A demonstration of S?netSuit . For this program
 companies pay training , but the student is only
 shown how to register and then is told to do","DET NOUN ADP PROPN PUNCT ADP DET NOUN NOUN VERB
 NOUN PUNCT CCONJ DET NOUN AUX ADV VERB ADV PART
 VERB CCONJ ADV AUX VERB PART VERB"
